Column1;SlHa1;SlHa2;SlHa3;Ctr1;Ctr2;Ctr3
PITA_05348;160;162;301;118;184;131
PITA_39530;514;558;1080;666;703;667
PITA_14834;0;0;0;0;0;0
PITA_13143;0;0;0;2;0;0
PITA_30627;40;23;79;62;36;57
PITA_15422;29;54;159;18;89;44
PITA_45417;1;0;0;0;0;0
PITA_41355;20;17;38;19;27;37
PITA_47586;156;200;380;183;247;265
PITA_32268;0;0;0;0;0;0
PITA_26375;1;0;0;0;0;0
PITA_26114;0;0;0;0;0;0
PITA_01295;0;0;0;0;0;0
PITA_39827;51;59;149;65;61;1444
PITA_05322;64;87;146;79;65;110
PITA_50904;0;0;0;1;0;0
PITA_13041;42;112;152;51;99;122
PITA_09357;0;0;0;0;0;0
PITA_40395;97;191;237;91;141;153
PITA_30403;0;3;2;2;0;4
PITA_26447;16;13;41;35;19;12
PITA_09104;22;46;35;28;34;64
PITA_18527;36;35;72;69;80;69
PITA_05055;0;0;0;0;0;0
PITA_32330;0;0;0;0;0;0
PITA_13662;467;336;1252;877;600;515
PITA_14066;0;1;0;0;0;0
PITA_50318;20;16;48;21;21;45
PITA_03960;46;76;89;93;57;62
PITA_08443;0;0;0;0;0;0
PITA_07250;159;167;242;236;189;210
PITA_00481;0;0;0;0;0;9
PITA_21502;23;33;0;38;28;48
PITA_32524;425;527;665;446;515;676
PITA_28377;0;0;0;0;0;0
PITA_41419;210;194;362;110;141;224
PITA_48952;0;0;1;2;3;0
PITA_00854;0;0;0;0;0;0
PITA_48517;1;0;1;1;3;3
PITA_23245;106;157;167;211;184;164
PITA_14697;5;10;5;10;0;4
PITA_30204;0;0;25;2;0;0
PITA_49802;2;0;13;8;3;2
PITA_22248;0;2;4;0;0;0
PITA_01598;0;0;0;0;0;0
PITA_29489;40;67;77;58;30;61
PITA_20620;60;42;136;96;99;117
PITA_50866;1;7;16;8;7;8
PITA_33182;0;3;0;0;0;1
PITA_40133;0;0;0;0;0;0
PITA_05424;0;0;0;0;0;0
PITA_27348;0;0;0;0;0;1
PITA_50893;1;1;2;0;1;1
PITA_25918;417;338;865;613;792;579
PITA_40113;4;3;10;10;11;5
PITA_20522;116;104;175;114;108;168
PITA_04639;1016;1684;2203;1214;1715;1057
PITA_14830;9;12;11;15;0;26
PITA_00646;0;0;0;0;0;0
PITA_44112;632;379;907;824;590;781
PITA_46220;76;43;120;66;44;82
PITA_33997;1505;3221;4282;1928;2553;2598
PITA_17083;1;1;10;4;7;7
PITA_15902;84;88;133;76;69;76
PITA_37761;0;0;0;0;0;0
PITA_43576;2;1;4;0;0;1
PITA_33130;120;123;174;118;110;113
PITA_09463;274;775;788;41;474;275
PITA_22794;6;0;14;3;3;0
PITA_06039;67;69;151;83;76;115
PITA_24267;4;0;36;0;15;25
PITA_17603;0;0;0;0;0;0
PITA_09148;0;0;0;0;0;0
PITA_44473;98;71;117;110;54;117
PITA_02190;6;0;22;6;12;13
PITA_17095;0;0;0;0;0;0
PITA_42066;0;1;9;4;18;7
PITA_17710;0;0;0;0;0;0
PITA_27890;110;108;299;142;143;245
PITA_12659;1014;1306;2323;1378;1589;2047
PITA_19764;34;17;57;81;45;192
PITA_48049;40;78;138;49;39;99
PITA_23692;123;137;0;242;0;155
PITA_51057;60;187;202;111;104;218
PITA_12984;11;16;22;9;18;4
PITA_38246;3;6;18;6;14;11
PITA_34840;212;0;81;313;187;22
PITA_27065;78;0;172;114;64;89
PITA_11945;11;3;37;1;10;1
PITA_30224;0;0;34;0;57;21
PITA_05551;0;0;0;0;0;0
PITA_21468;0;3;0;0;0;1
PITA_25455;811;678;1546;1156;992;1222
PITA_43653;1;0;0;1;0;1
PITA_47044;964;1180;2166;1324;1168;1630
PITA_14668;17;38;42;14;21;12
PITA_26679;121;132;224;165;196;288
PITA_21230;0;0;0;0;0;0
PITA_13517;6073;11282;14314;9667;7777;14293
PITA_26457;1;0;2;1;0;3
PITA_44948;386;1264;894;904;754;1044
PITA_12417;189;109;359;360;255;150
PITA_14714;0;0;0;0;0;0
PITA_21873;392;369;869;566;424;555
PITA_35916;11;28;18;12;8;34
PITA_09903;0;2;0;0;0;0
PITA_09827;0;0;0;0;0;16
PITA_22566;11;13;25;29;10;20
PITA_47890;6;7;11;6;2;8
PITA_18589;23;145;167;25;43;28
PITA_15845;182;339;464;156;228;326
PITA_20947;0;0;0;0;0;0
PITA_29384;0;1;0;0;0;0
PITA_10045;353;277;633;545;428;343
PITA_22458;0;0;0;0;0;0
PITA_44809;3;28;0;27;7;4
PITA_46351;81;178;180;98;139;184
PITA_30081;0;0;1;0;0;0
PITA_11126;60;77;128;66;97;101
PITA_12026;1;0;0;0;0;0
PITA_03210;22;50;107;84;5;44
PITA_31783;0;0;10;0;0;3
PITA_05213;0;0;0;0;0;0
PITA_31225;237;357;543;693;691;1607
PITA_16380;0;0;0;0;0;1
PITA_50508;589;642;1165;642;735;823
PITA_22646;0;0;0;0;0;0
PITA_50073;83;34;134;89;46;53
PITA_29213;566;1583;2696;1632;1809;3191
PITA_37956;0;0;1;1;2;0
PITA_12325;97;143;156;128;223;195
PITA_35163;0;0;0;0;0;0
PITA_28677;26;42;91;51;41;48
PITA_09095;72;218;187;304;159;678
PITA_22978;0;1;2;1;2;1
PITA_16968;1128;1351;2034;1329;1248;1559
PITA_39663;10;3;4;13;23;26
PITA_18995;1;0;0;0;0;0
PITA_05090;269;233;423;314;226;594
PITA_43713;3370;7009;6523;8195;7474;17522
PITA_16142;41;30;53;44;37;31
PITA_30931;0;0;0;0;0;0
PITA_02865;0;0;0;0;0;1
PITA_17420;93;97;198;123;83;123
PITA_10311;164;31;287;77;123;36
